County, FIPS,cancer_incidence_per_100000
"Stanly County, North Carolina(6,10)",37167,495.6
"Macoupin County, Illinois(6,10)",17117,495.6
"Webster County, Nebraska(6,10)",31181,495.5
"Creek County, Oklahoma(6,10)",40037,495.5
"Pearl River County, Mississippi(6,10)",28109,495.5
"Clarion County, Pennsylvania(6,10)",42031,495.4
"Jefferson County, Pennsylvania(6,10)",42065,495.4
"Paulding County, Georgia(7,9)",13223,495.4
"Yates County, New York(6,10)",36123,495.3
"Hancock County, West Virginia(6,10)",54029,495
"Lynchburg City, Virginia(6,10)",51680,495
"Walker County, Alabama(6,10)",1127,495
"Manistee County, Michigan(6,10)",26101,494.9 #  
"Greenbrier County, West Virginia(6,10)",54025,494.9
"Henry County, Illinois(6,10)",17073,494.7
"Norfolk County, Massachusetts(6,10)",25021,494.7
"Marlboro County, South Carolina(6,10)",45069,494.7
"Livingston Parish, Louisiana(7,9)",22063,494.6
"Bibb County, Alabama(6,10)",1007,494.6
"St. Tammany Parish, Louisiana(7,9)",22103,494.5
"Union County, Arkansas(6,10)",5139,494.4
"Broome County, New York(6,10)",36007,494.4
"Dawson County, Montana(6,10)",30021,494.3
"Seneca County, New York(6,10)",36099,494.3
"Milwaukee County, Wisconsin(6,10)",55079,494.3
"Jasper County, Illinois(6,10)",17079,494.2
"Cherokee County, South Carolina(6,10)",45021,494.2
"Blount County, Tennessee(6,10)",47009,494.2
"Owen County, Indiana(6,10)",18119,494.2
"Russell County, Alabama(6,10)",1113,494.1
"Floyd County, Iowa(7,8)",19067,494
"Sevier County, Tennessee(6,10)",47155,493.9
"Starke County, Indiana(6,10)",18149,493.9
"Mercer County, West Virginia(6,10)",54055,493.8
"Owsley County, Kentucky(7,9)",21189,493.7
"Lawrence County, Pennsylvania(6,10)",42073,493.6
"Tama County, Iowa(7,8)",19171,493.6
"Colonial Heights City, Virginia(6,10)",51570,493.6
"Franklin County, Georgia(7,9)",13119,493.5
"Cerro Gordo County, Iowa(7,8)",19033,493.5
"Bell County, Kentucky(7,9)",21013,493.5
"Sharp County, Arkansas(6,10)",5135,493.4
"Snohomish County, Washington(7,8)",53061,493.4
"Sussex County, Delaware(6,10)",10005,493.3
"Okmulgee County, Oklahoma(6,10)",40111,493.2
"Yazoo County, Mississippi(6,10)",28163,493.2
"Adams County, Ohio(6,10)",39001,493.1
"Tift County, Georgia(7,9)",13277,493.1
"Jackson County, Georgia(7,9)",13157,493.1
"Sussex County, New Jersey(7,8)",34037,493.1
"Terrebonne Parish, Louisiana(7,9)",22109,493.1
"Burke County, North Carolina(6,10)",37023,493
"Calhoun County, Illinois(6,10)",17013,493
"Boyle County, Kentucky(7,9)",21021,492.9
"Williamson County, Illinois(6,10)",17199,492.9
"Pottawattamie County, Iowa(7,8)",19155,492.9
"Grundy County, Iowa(7,8)",19075,492.9
"Caddo Parish, Louisiana(7,9)",22017,492.8
"Chester County, South Carolina(6,10)",45023,492.8
"Carter County, Missouri(6,10)",29035,492.8
"Roane County, Tennessee(6,10)",47145,492.7
"Acadia Parish, Louisiana(7,9)",22001,492.7
"Essex County, Vermont(6,10)",50009,492.7
"Charles City County, Virginia(6,10)",51036,492.6
"Woodruff County, Arkansas(6,10)",5147,492.6
"Gallatin County, Illinois(6,10)",17059,492.5
"Lewis County, Kentucky(7,9)",21135,492.5
"Perry County, Tennessee(6,10)",47135,492.4
"Perry County, Mississippi(6,10)",28111,492.4
"Walworth County, Wisconsin(6,10)",55127,492.4
"Douglas County, South Dakota(6,10)",46043,492.4
"Hopkins County, Kentucky(7,9)",21107,492.4
"Lonoke County, Arkansas(6,10)",5085,492.3
"Washington County, Rhode Island(6,10)",44009,492.3
"Greensville County, Virginia(6,10)",51081,492.2
"Scott County, Missouri(6,10)",29201,492.2
"Hancock County, Iowa(7,8)",19081,492.1
"Bond County, Illinois(6,10)",17005,492.1
"Metcalfe County, Kentucky(7,9)",21169,492.1
"Clay County, Missouri(6,10)",29047,492
"Effingham County, Georgia(7,9)",13103,492
"Hampton City, Virginia(6,10)",51650,491.9
"Hancock County, Maine(6,10)",23009,491.9
"Campbell County, Tennessee(6,10)",47013,491.8
"Kent County, Rhode Island(6,10)",44003,491.8
"Jefferson County, Mississippi(6,10)",28063,491.8
"Gloucester County, Virginia(6,10)",51073,491.8
"Madison County, Illinois(6,10)",17119,491.7
"Conecuh County, Alabama(6,10)",1035,491.6
"Racine County, Wisconsin(6,10)",55101,491.6
"Lamar County, Alabama(6,10)",1075,491.6
"Kiowa County, Oklahoma(6,10)",40075,491.5
"Martin County, North Carolina(6,10)",37117,491.5
"King George County, Virginia(6,10)",51099,491.5
"Josephine County, Oregon(6,10)",41033,491.2
"Davie County, North Carolina(6,10)",37059,491.1
"Powder River County, Montana(6,10)",30075,491
"Baxter County, Arkansas(6,10)",5005,490.9
